time_s,GSH_Current_µA
0,0.0103
0.01,0.0102
0.02,0.0116
0.03,0.0103
0.04,0.0113
0.05,0.0109
0.06,0.0111
0.07,0.0116
0.08,0.0108
0.09,0.0116
0.1,0.0109
0.11,0.0111
0.12,0.0116
0.13,0.0106
0.14,0.0111
0.15,0.0105
0.16,0.0109
0.17,0.0114
0.18,0.0105
0.19,0.0114
0.2,0.0111
0.21,0.0111
0.22,0.0116
0.23,0.0105
0.24,0.0117
0.25,0.0111
0.26,0.0109
0.27,0.0116
0.28,0.0106
0.29,0.0114
0.3,0.0111
0.31,0.0105
0.32,0.0109
0.33,0.0108
0.34,0.0111
0.35,0.0108
0.36,0.0113
0.37,0.0108
0.38,0.0105
0.39,0.0117
0,0.0113
0.01,0.0109
0.02,0.0116
0.03,0.0108
0.04,0.0116
0.05,0.0109
0.06,0.0111
0.07,0.0117
0.08,0.0106
0.09,0.0113
0.1,0.0106
0.11,0.0109
0.12,0.0116
0.13,0.0108
0.14,0.0116
0.15,0.0109
0.16,0.0113
0.17,0.0114
0.18,0.0109
0.19,0.0116
0.2,0.0109
0.21,0.0109
0.22,0.0114
0.23,0.0109
0.24,0.0119
0.25,0.0113
0.26,0.0108
0.27,0.0117
0.28,0.0111
0.29,0.0116
0.3,0.0111
0.31,0.0111
0.32,0.0119
0.33,0.0111
0.34,0.0117
0.35,0.0113
0.36,0.0111
0.37,0.0117
0.38,0.0108
0.39,0.0117
0.4,0.0113
0.41,0.0111
0.42,0.0117
0.43,0.0109
0.44,0.012
0.45,0.0113
0.46,0.0114
0.47,0.0116
0.48,0.0114
0.49,0.0119
0.5,0.0111
0.51,0.0113
0.52,0.0122
0.53,0.0108
0.54,0.0119
0.55,0.0113
0.56,0.0114
0.57,0.0122
0.58,0.0106
0.59,0.0119
0.6,0.0113
0.61,0.0113
0.62,0.0119
0.63,0.0109
0.64,0.0116
0.65,0.0111
0.66,0.0111
0.67,0.012
0.68,0.0108
0.69,0.0117
0.7,0.0113
0.71,0.0113
0.72,0.0113
0.73,0.0111
0.74,0.0119
0.75,0.0113
0.76,0.0111
0.77,0.0117
0.78,0.0108
0.79,0.0119
0.8,0.0113
0.81,0.0113
0.82,0.0116
0.83,0.0105
0.84,0.0111
0.85,0.0109
0.86,0.0108
0.87,0.0113
0.88,0.0109
0.89,0.0116
0.9,0.0109
0.91,0.0113
0.92,0.0114
0.93,0.0109
0.94,0.0114
0.95,0.0111
0.96,0.0116
0.97,0.0116
0.98,0.0111
0.99,0.012
1,0.0113
1.01,0.0113
1.02,0.0122
1.03,0.0111
1.04,0.0119
1.05,0.0113
1.06,0.0114
1.07,0.0122
1.08,0.0111
1.09,0.0119
1.1,0.0116
1.11,0.0114
1.12,0.0117
1.13,0.0114
1.14,0.0116
1.15,0.0111
1.16,0.0119
1.17,0.0117
1.18,0.0116
1.19,0.0122
1.2,0.0109
1.21,0.0119
1.22,0.0116
1.23,0.0111
1.24,0.0127
1.25,0.0113
1.26,0.0114
1.27,0.0125
1.28,0.0113
1.29,0.0127
1.3,0.0119
1.31,0.0122
1.32,0.0127
1.33,0.0113
1.34,0.0122
1.35,0.0116
1.36,0.012
1.37,0.013
1.38,0.0119
1.39,0.0123
1.4,0.012
1.41,0.0122
1.42,0.0122
1.43,0.0119
1.44,0.0125
1.45,0.0113
1.46,0.0123
1.47,0.0122
1.48,0.0113
1.49,0.0128
1.5,0.0113
1.51,0.0122
1.52,0.0127
1.53,0.0109
1.54,0.013
1.55,0.012
1.56,0.0116
1.57,0.0123
1.58,0.0117
1.59,0.012
1.6,0.012
1.61,0.0122
1.62,0.0123
1.63,0.0116
1.64,0.0125
1.65,0.0119
1.66,0.0123
1.67,0.0122
1.68,0.0117
1.69,0.0127
1.7,0.0119
1.71,0.0127
1.72,0.0122
1.73,0.0116
1.74,0.013
1.75,0.0117
1.76,0.0122
1.77,0.013
1.78,0.0113
1.79,0.0133
1.8,0.012
1.81,0.0123
1.82,0.0127
1.83,0.0119
1.84,0.0122
1.85,0.0117
1.86,0.0117
1.87,0.0119
1.88,0.0114
1.89,0.0122
1.9,0.0116
1.91,0.0119
1.92,0.0119
1.93,0.0117
1.94,0.0127
1.95,0.0113
1.96,0.0123
1.97,0.0123
1.98,0.0113
1.99,0.0122
2,0.0119
2.01,0.012
2.02,0.0122
2.03,0.0116
2.04,0.0127
2.05,0.012
2.06,0.0119
2.07,0.0119
2.08,0.0109
2.09,0.012
2.1,0.0113
2.11,0.0113
2.12,0.0109
